gene_short_name,PFAL1,PFAL2,PFAL3,PFDR1,PFDR2,PFDR3
SNORA67,0,0,0,0,0,0
SNORA68,0,0,0,0,0,0
Snora69,0,0,0,0,0,246.444
SNORA7,0,0,0,0,0,0
SNORA70,0,0,0,0,0,0
SNORA71,56.2614,300.827,149.059,176.841,25.7112,0
SNORA72,0,35.9887,0,0,0,0
SNORA73,9.20695,44.697,32.519,12.9207,8.37907,9.32018
Snora73a,26.687,23.5213,71.6536,44.6467,32.0023,28.0947
Snora73b,38.5746,64.3463,132.511,46.6843,21.2848,42.8034
SNORA74,29.2898,41.5808,60.5992,37.8947,23.182,38.9715
Snora74a,144.489,154.833,536.857,252.467,182.455,339.687
Snora75,0,0,0,0,0,0
SNORA76,0,0,0,0,0,0
SNORA77,0,0,12.8663,28.7735,11.328,0
Snora78,0,0,0,0,0,0
SNORA79,244.164,535.753,887.634,234.933,235.135,146.877
Snora7a,912.699,1244.09,1671.82,724.004,550.391,1261.26
SNORA8,1960.44,1583.71,2499.49,2475.98,1462.33,1751.62
Snora81,15.1057,0,35.0211,12.9372,0,0
SNORA84,73.3688,59.7628,134.003,91.0547,8.75884,0
SNORA9,1.59299,0.204899,0.139294,0.396535,0.76868,0
Snord100,0,0,0,0,50165.1,0
SNORD101,0,0,0,33053.2,0,0
SNORD102,0,0,0,0,0,0
SNORD103,0,0,51502.2,0,15258.8,0
Snord104,290904,48539.7,356122,0,0,0
SNORD105,0,0,0,0,0,0
Snord107,0,0,0,0,0,0
Snord11,0,13990.8,0,0,18995,0
Snord110,232162,0,0,73405.2,92741.2,0
Snord111,21464,13491.9,150481,53414.1,122508,260911
SNORD112,0,0,0,0,0,0
SNORD113,0,24757.1,0,0,0,0
SNORD115,0,0,0,0,0,0
SNORD116,0,0,0,0,0,0
Snord118,0,46.5976,0,19.1924,46.6073,0
SNORD12,27886.4,753.449,179.838,67307.8,0,0
SNORD121A,0,0,0,0,0,0
SNORD123,0,0,0,0,0,0
SNORD124,0,0,0,0,0,0
SNORD125,0,0,0,0,0,0
SNORD127,0,0,0,0,0,0
Snord13,2765.72,4383.87,5143.12,3211.77,4394.24,15268.1
SNORD14,0,0,0,0,0,0
Snord14a,0,0,0,0,0,0
Snord14e,0,0,0,0,0,0
Snord15a,57.4522,60.8384,221.257,156.289,64.9083,61.8751
Snord15b,371.538,356.305,737.307,673.666,364.736,397.552
SNORD16,5840.75,47234.7,62841,0,19968.2,0
Snord17,71.9638,143.451,456.814,99.5582,51.7045,211.808
SNORD18,0,0,0,0,0,0
Snord19,0,0,0,0,0,0
SNORD19B,0,0,0,0,0,0
Snord1a,0,0,0,0,0,0
Snord1b,0,0,0,0,0,0
Snord1c,0,0,0,0,0,0
Snord2,0,0,0,0,0,0
SNORD20,0,0,0,0,0,0
Snord21,0,0,0,0,0,0
Snord22,3867,5930.62,13885.3,6152.4,3250.21,5008.08
Snord23,1249.08,1675.91,319.3,0,0,0
SNORD24,0,0,0,0,0,0
SNORD25,0,278706,265833,203791,0,0
SNORD26,176250,32765.2,526899,413396,221960,0
SNORD27,0,0,0,0,0,0
SNORD28,0,162359,39692.2,86014.7,0,470265
SNORD29,468035,285191,271880,208431,256603,1.68E+06
SNORD30,0,0,0,0,0,0
SNORD31,0,0,0,0,0,0
Snord32a,0,0,0,0,0,0
Snord33,0,0,0,0,0,0
Snord34,0,0,0,0,0,0
Snord35a,69305.5,0,107052,88597.3,146339,224222
Snord35b,0,0,0,0,0,0
SNORD36,0,0,0,0,0,0
Snord37,0,0,0,0,0,0
SNORD38,0,0,0,0,0,0
Snord38a,0,0,0,0,0,0
SNORD41,0,0,0,0,0,0
Snord42a,1.25E+06,1.70E+06,765832,886750,482959,0
Snord42b,0,217693,0,0,0,0
SNORD44,0,0,0,0,0,0
SNORD45,1.72E+06,1.46E+06,3.30E+06,2.37E+06,1.20E+06,1.87E+06
