gene_short_name,Y(1),Y(2),Y(3),AL 15 (1),AL 15 (2),AL 15 (2),DR 15 (1),DR 15 (2),DR 15 (3),ALtoDR(1),ALtoDR(2),ALtoDR(3),DRtoAL(1),DRtoAL(2),DRtoAL(3)
Dbt,8.12763,7.54215,9.81763,7.51022,9.37128,8.51477,8.74658,8.54723,9.00268,22.828,26.0902,15.6834,21.5535,21.6337,22.6111
Dazap2,82.9975,62.9756,78.7711,76.5648,92.3497,81.9531,81.0832,91.9969,68.5122,59.3959,63.2773,39.0534,60.3948,51.6112,56.4918
Mcts1,35.7079,28.3307,38.3589,25.5253,37.918,32.3643,29.5529,38.1985,35.5081,27.3372,21.4595,14.0288,25.6187,23.0725,27.2979
Rem1,0.0838628,0.0912763,0.21484,0.819775,0.219137,0.385886,0.329504,0.0732342,0.366917,0.17716,0.11586,0.233451,0,0.421221,0.176934
Rnf17,0,0,0.0354038,0.0275635,0,0,0.00763054,0,0,0,0,0.0045794,0,0,0.0215258
Trappc10,1.50193,1.12834,1.4707,1.4912,1.44234,1.90614,1.93814,1.91012,1.24467,3.61024,3.01724,2.28045,3.88345,3.35524,4.29704
Ccm2,4.93925,4.73978,6.61604,5.19314,5.53591,5.66903,5.01208,5.65677,6.31198,4.55432,3.95511,3.25435,5.70131,3.16572,4.39092
Wap,0,0,0,0,0,0,0.113777,0,0,0,0,0.104333,0,0,0.190399
Tbrg4,7.78742,6.1594,12.2182,6.49898,6.72544,7.71564,9.22665,8.77031,6.82212,4.973,3.08281,5.01767,2.44625,3.72836,4.923
Tmprss2,0.909059,0.989394,0.943876,0.797119,1.11321,0.52668,1.68659,0.712901,1.27962,1.26512,1.83015,0.910978,0.396721,0.572747,0.832863
Mx1,0.925153,0.756861,0.903249,0.786129,0.602395,0.426958,0.270996,0.0994798,0.575179,0.0955957,0.275423,0.0393671,0.400956,0.439728,0.138733
Fap,0.257394,0.144907,0.0221523,0.0464127,0,0,0,0.0584338,0.0608683,0.0625411,0.211834,0.0854443,0.0800663,0.112517,0
Gcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa9,57.2103,46.4361,57.6374,48.0794,72.7402,58.973,53.8196,68.1735,59.5423,92.4318,97.9945,41.0703,113.971,91.1123,111.373
Egfl6,1.28E-06,0.0518835,0,1.66E-06,0,0.0134759,0.0714982,0,0.0450683,0.0490624,0,0.0631118,0.147783,0.0719479,0.0570269
Lck,0.180975,0.249157,0.14051,0.0250108,0.607629,0.168658,0.145368,0.282609,0.166908,0.308128,0.0399371,0.25777,0.303345,0.522965,0.342155
Tssk3,0,0,0,0,0,0,0.0328168,0.0475864,0,0,0.0448469,0.0261979,0,0,0
Cttnbp2,0.113949,0.561447,0.345657,0.0858035,0.346102,0.0465598,0.493278,0.361178,0.29251,0.0721199,0.0751692,0.0529691,0.470209,0.110961,0.111769
